,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
6,RM,8,8,-0.542627207,-157,18.0118440096,255,-449,239,-0.3496659243,-303,-133,0.303030303,20,46,29.95,-19.6086956522
7,RM,1,1,-0.5687625502,-170,18.6070711589,255,-430,239,-0.3953488372,-301,-123,0.3114754098,19,42,30.5263157895,-20.9761904762
8,RM,18,18,-0.7059039704,-243,21.4299293335,255,-521,150,-0.4664107486,-385,-121,0.2833333333,17,43,35.8823529412,-23.1395348837
9,RM,20,20,-0.7494839975,-301,25.0013938163,255,-587,150,-0.5127768313,-432,-103,0.3333333333,17,34,35.3529411765,-30.3823529412
0,y,10,10,0.5748081066,322,34.8733025201,255,-348,73,0.9252873563,64,-196,0.2857142857,14,35,104.7142857143,-40.0571428571
1,y,2,2,0.4903307681,278,35.2952075381,255,-386,128,0.7202072539,44,-192,0.3125,15,32,98.8,-44.9375
2,y,3,3,0.3669310656,212,35.9676007433,255,-416,128,0.5096153846,34,-172,0.3488372093,15,28,93.2,-48.7142857143
3,y,9,9,0.265937897,144,33.7087270151,255,-426,85,0.338028169,-124,-220,0.2545454545,14,40,99.8571428571,-38.05
4,y,4,4,0.1859488402,112,37.4959739489,255,-478,128,0.2343096234,-40,-164,0.3414634146,14,27,96.1428571429,-51.3333333333
5,y,11,11,0.1516584365,88,36.1223659298,255,-434,74,0.202764977,-104,-188,0.2978723404,14,33,100.7142857143,-45.8787878788
6,y,16,16,0.0904176558,48,33.0482208359,255,-438,98,0.1095890411,-186,-244,0.262295082,16,42,87.5,-37.7619047619
7,y,17,17,0.0473420583,26,34.1889923932,255,-384,85,0.0677083333,-196,-224,0.3214285714,18,37,76.4444444444,-42.4864864865
8,y,1,1,-0.0443975716,-24,33.6520957436,255,-538,131,-0.0446096654,-280,-228,0.2456140351,14,42,103.1428571429,-41.0476190476
