,asset,scenario,chan,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
9,l,26,1,5,1.4604082798800877,1575.0,67.13768491336074,255,-745.0,84,2.1140939597315436,1390.0,-165.0,0.4375,7,9,371.42857142857144,-134.44444444444446
0,pp,35,1,14,2.871747347523809,2523.0,54.69292016744761,255,-247.0,12,10.214574898785425,1717.0,-105.0,0.5576923076923077,29,23,107.24137931034483,-60.56521739130435
1,pp,29,1,8,2.3976143099501463,2400.0,62.314915389049666,255,-336.0,77,7.142857142857143,1609.0,-71.0,0.5428571428571428,19,15,146.52631578947367,-78.33333333333333
2,pp,14,0,14,2.2777519661642978,2157.0,58.95271419045515,255,-411.0,21,5.248175182481752,1426.0,-111.0,0.5272727272727272,29,26,116.34482758620689,-74.92307692307692
3,pp,31,1,10,2.2212365021266094,2326.0,65.18910201215974,255,-335.0,9,6.943283582089553,1674.0,-55.0,0.5185185185185185,14,13,200.71428571428572,-87.38461538461539
4,pp,22,1,1,2.1904602831845863,2229.0,63.34827237410422,255,-429.0,77,5.195804195804196,1457.0,-69.0,0.5,17,16,156.05882352941177,-74.75
5,pp,36,1,15,2.1812528038066614,2119.0,60.47627651910248,255,-453.0,107,4.677704194260485,1373.0,-95.0,0.46808510638297873,22,25,133.3181818181818,-62.4
6,pp,32,1,11,2.180385535356756,2245.0,64.0978028563963,255,-348.0,77,6.4511494252873565,1547.0,-53.0,0.5384615384615384,14,12,188.92857142857142,-91.5
7,pp,30,1,9,2.171337778427415,2275.0,65.22500219176345,255,-341.0,51,6.671554252199414,1604.0,-65.0,0.5625,18,14,157.61111111111111,-88.07142857142857
8,pp,24,1,3,2.151593107938089,2307.0,66.7494267070877,255,-418.0,77,5.519138755980861,1637.0,-51.0,0.6,15,10,185.6,-114.7
9,pp,25,1,4,2.121261003847107,2245.0,65.88435932342661,255,-451.0,77,4.977827050997782,1483.0,-49.0,0.5416666666666666,13,11,199.30769230769232,-100.72727272727273
0,jd,0,0,0,0.5608527204636116,233.0,25.862302085022247,255,-212.0,76,1.099056603773585,124.0,-93.0,0.3695652173913043,17,29,57.11764705882353,-29.20689655172414
1,jd,36,1,15,0.5607600744243518,213.0,23.64626806740371,255,-327.0,50,0.6513761467889908,61.0,-99.0,0.30612244897959184,15,34,61.8,-25.470588235294116
2,jd,28,1,7,0.5374280669068741,208.0,24.093676863091666,255,-332.0,125,0.6265060240963856,26.0,-95.0,0.3191489361702128,15,32,58.0,-26.375
3,jd,21,1,0,0.523556500976996,203.0,24.137515812529745,255,-320.0,125,0.634375,97.0,-85.0,0.30952380952380953,13,29,66.84615384615384,-26.620689655172413
4,jd,15,0,15,0.49643097022208843,203.0,25.45641605605591,255,-206.0,45,0.9854368932038835,4.0,-113.0,0.35714285714285715,20,36,52.35,-28.97222222222222
5,jd,29,1,8,0.4682364771081441,183.0,24.3302144056428,255,-275.0,125,0.6654545454545454,33.0,-81.0,0.35,14,26,60.214285714285715,-31.153846153846153
