,asset,scenario,rsi_trigger,rsi_len,atr_period,atrma_period,stoploss,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
16,jm,160,1,2,1,0,6,0.672285607761,326.0,18.4156806292,418,-242.0,244,1.34710743802,326.0,18.0,0.388888888889,7,11,105.785714286,-37.6818181818
17,jm,251,2,2,1,1,6,0.654150464762,269.0,15.6170361045,418,-229.5,288,1.17211328976,269.0,10.0,0.1,1,9,496.5,-25.2777777778
18,jm,153,1,2,0,1,6,0.640606669473,316.5,18.7631714548,418,-310.5,177,1.0193236715,316.5,18.0,0.388888888889,7,11,108.285714286,-40.1363636364
19,jm,167,1,2,1,1,6,0.598865121403,294.5,18.6758452959,418,-337.5,177,0.872592592593,294.5,18.0,0.444444444444,8,10,94.375,-46.05
20,jm,285,3,1,0,0,5,0.582106042716,182.5,11.9065173673,418,-111.0,282,1.64414414414,182.5,8.0,0.375,3,5,100.166666667,-23.6
21,jm,145,1,2,0,0,5,0.568731941752,237.5,15.8591527574,418,-193.5,228,1.22739018088,237.5,20.0,0.45,9,11,66.1666666667,-32.5454545455
22,jm,205,2,1,0,1,2,0.526922631898,114.5,8.25244470218,418,-100.5,219,1.13930348259,114.5,23.0,0.434782608696,10,13,34.65,-17.8461538462
23,jm,200,2,1,0,0,4,0.497926014511,168.5,12.8516555454,418,-162.5,3,1.03692307692,168.5,18.0,0.444444444444,8,10,56.75,-28.55
24,jm,219,2,1,1,1,2,0.496148475501,108.0,8.26677434183,418,-104.0,260,1.03846153846,108.0,23.0,0.391304347826,9,14,37.8888888889,-16.6428571429
25,jm,258,3,0,0,0,6,0.48896586274,258.5,20.0773317993,418,-279.0,170,0.926523297491,258.5,20.0,0.25,5,15,147.0,-31.7666666667
26,jm,199,2,1,0,0,3,0.48260091731,138.0,10.8596275834,418,-129.0,22,1.06976744186,138.0,19.0,0.473684210526,9,10,42.8888888889,-24.8
27,jm,152,1,2,0,1,5,0.476852012014,208.5,16.6052886177,418,-272.5,114,0.765137614679,208.5,20.0,0.5,10,10,59.95,-39.1
28,jm,299,3,1,1,0,5,0.475791218837,152.5,12.1724334783,418,-129.5,282,1.17760617761,152.5,8.0,0.375,3,5,94.3333333333,-26.1
29,jm,229,2,2,0,0,5,0.469664669426,153.5,12.4120774498,418,-130.0,213,1.18076923077,153.5,11.0,0.363636363636,4,7,79.375,-23.4285714286
0,ZC,214,2,1,1,0,4,0.869083191364,88.2,3.8541731651,418,-48.2,55,1.82987551867,88.2,12.4,0.483870967742,15,16,12.92,-6.6
1,ZC,200,2,1,0,0,4,0.858172376908,87.6,3.87662295942,418,-47.6,55,1.84033613445,87.6,12.4,0.516129032258,16,15,12.3375,-7.32
2,ZC,216,2,1,1,0,6,0.813199219766,109.0,5.09041902395,418,-69.6,55,1.56609195402,109.0,11.6,0.48275862069,14,15,17.7428571429,-9.29333333333
3,ZC,186,2,0,1,0,4,0.747616356989,118.4,6.01446353742,418,-79.2,125,1.49494949495,118.4,27.2,0.411764705882,28,40,14.8357142857,-7.425
4,ZC,144,1,2,0,0,4,0.722911118326,80.6,4.23422689324,418,-54.6,55,1.47619047619,80.6,14.8,0.486486486486,18,19,12.5777777778,-7.67368421053
5,ZC,26,0,0,1,1,5,0.711092185797,140.0,7.47697826342,418,-112.2,22,1.24777183601,140.0,29.6,0.459459459459,34,40,16.2294117647,-10.295
6,ZC,256,3,0,0,0,4,0.660225699258,74.8,4.30262168053,418,-74.0,55,1.01081081081,74.8,14.4,0.472222222222,17,19,13.3058823529,-7.96842105263
7,ZC,207,2,1,0,1,4,0.649840947275,66.6,3.89216411738,418,-48.8,55,1.36475409836,66.6,12.4,0.516129032258,16,15,11.725,-8.06666666667
8,ZC,179,2,0,0,1,4,0.645686117373,102.6,6.03461962062,418,-85.6,125,1.19859813084,102.6,26.8,0.432835820896,29,38,14.1310344828,-8.08421052632
9,ZC,202,2,1,0,0,6,0.642879128656,85.4,5.04489966075,418,-68.6,55,1.24489795918,85.4,12.0,0.5,15,15,14.6933333333,-9.0
10,ZC,333,3,2,1,1,4,0.612096138018,31.8,1.97301991659,418,-14.4,288,2.20833333333,31.8,1.2,0.333333333333,1,2,50.2,-9.2
